source,target,language_pair,legal_category,legal_entity
"Application All cargo, courier and express parcels intended to be carried on passenger or all-cargo aircraft shall be subjected to the security controls detailed hereunder before being placed on board the aircraft.","Die gesamte Fracht und alle Kurier- und Expresssendungen, die mit Passagier- oder Nurfrachtflugzeugen befördert werden sollen, sind vor der Verladung ins Flugzeug den nachstehend beschriebenen Sicherheitskontrollen zu unterziehen.",en-de,Tax & Financial Regulation,"passenger, express, security"
ACCESS FOR FRANCE,ZUGANG FRANKREICHS,en-de,Criminal Law & Procedure,access
account number;,der Kontennummer;,en-de,Healthcare Law,account
"The measurement of deferred tax liabilities and deferred tax assets should reflect the tax consequences that would follow from the manner in which the enterprise expects, at the balance sheet date, to recover or settle the carrying amount of its assets and liabilities.","Die Bewertung latenter Steuerschulden und latenter Steueransprüche hat die steuerlichen Konsequenzen zu berücksichtigen, die daraus resultieren, in welcher Art und Weise ein Unternehmen zum Bilanzstichtag erwartet, den Buchwert seiner Vermögenswerte zu realisieren oder seiner Schulden zu erfuellen.",en-de,Environmental Law,"tax, settle, recover"
Member States shall not subject to any form of taxation whatsoever:,Die Mitgliedstaaten erheben keine Steuer irgendwelcher Art:,en-de,Tax & Financial Regulation,member
"Drugs (Article 3(2)(b), Annex, point 3.1)","Drogen (Artikel 3 Absatz 2 Buchstabe b), Anhang Punkt 3.1)",en-de,Administrative Law,article
O.Authentication The VU should authenticate users and connected entities (when a trusted path needs to be established between entities),O.Authentication Die FE sollte Benutzer und angeschlossene Geräteeinheiten authentisieren (wenn ein vertrauenswürdiger Weg zwischen Geräteeinheiten eingerichtet werden muss),en-de,Legal Theory & Latin Terms,"authenticate, authentication"
"theoretical studies, studies to test hypotheses, studies to develop tools or techniques, work involving untested techniques or «model» systems and all other research activities.","theoretische Studien, Studien zum Testen von Hypothesen, Studien zur Verbesserung des Instrumentariums oder von Techniken, Arbeiten unter Verwendung von nicht erprobten Techniken oder von «Modellsystemen» sowie alle sonstigen Forschungsaktivitäten.",en-de,Administrative Law,
Any third country.,Jedes Drittland.,en-de,Administrative Law,
Opinion of the European Parliament of 13 January 2004 (not yet published in the Official Journal) and Decision of the Council of 6 April 2004.,Stellungnahme des Europäischen Parlaments vom 13. Januar 2004 (noch nicht im Amtsblatt veröffentlicht) und Beschluss des Rates vom 6. April 2004.,en-de,Administrative Law,"official, journal, opinion, decision"
"It may be used for the manufacture of medicinal products derived from human blood and human plasma or used in the preparation of pooled platelets, or pooled, leucocyte-depleted platelets.",Es kann zur Herstellung von aus menschlichem Blut und menschlichem Plasma gewonnenen Arzneimitteln oder zur Herstellung von Pool-Thrombozyten oder leukozytendepletierten Pool-Thrombozyten verwendet werden.,en-de,Administrative Law,
"Regulation (EC) No 1049/2001 of the European Parliament and of the Council of 30 May 2001 regarding public access to European Parliament, Council and Commission documents (OJ L 145, 31.5.2001, p. 43).","Verordnung (EG) Nr. 1049/2001 des Europäischen Parlaments und des Rates vom 30. Mai 2001 über den Zugang der Öffentlichkeit zu Dokumenten des Europäischen Parlaments, des Rates und der Kommission (ABl. L 145 vom 31.5.2001, S. 43).",en-de,Administrative Law,"commission, public, access, regulation"
Entity A decides to present comparative information in those financial statements for one year only (see paragraph 36).,"Unternehmen A entschließt sich, in diesem Abschluss lediglich Vergleichsinformationen für ein Jahr darzustellen (siehe Paragraph 36).",en-de,Tax & Financial Regulation,"information, entity"
Article 242,Artikel 242,en-de,Legal Theory & Latin Terms,article
Setting of energy performance requirements,Festlegung von Anforderungen an die Gesamtenergieeffizienz,en-de,Contract Law,"setting, energy, performance"
Hearing of third persons,Anhörung Dritter,en-de,Administrative Law,hearing
"In the interests of efficient administration, this information should be grouped and a timetable established for its submission.","Aus verwaltungstechnischen Gründen empfiehlt es sich, diese Angaben zu bündeln und einen Zeitplan für ihre Übermittlung aufzustellen.",en-de,Legal Theory & Latin Terms,information
"""Number of female employees"" is part of the number of employees (16 13 0).",Die Zahl der Lohn- und Gehaltsempfängerinnen ist Teil der Variablen Zahl der Lohn- und Gehaltsempfänger (16 13 0).,en-de,Employment & Labor Law,
"When authorising an RSO, Contracting Governments should give consideration to the competency of such an organisation.",Bei der Ermächtigung einer anerkannten Stelle zur Gefahrenabwehr soll die Vertragsregierung auf die Kompetenz dieser Stelle achten.,en-de,Contract Law,consideration
Aid number,Nummer der Beihilfe,en-de,Administrative Law,
repairs.,Reparaturen vornehmen.,en-de,Administrative Law,
«body governed by public law» means any body:,"„Einrichtung des öffentlichen Rechts“: eine Einrichtung, die",en-de,Intellectual Property (IP),"law, public"
Each Member State shall require the appropriate authority to ensure the development and implementation of a national civil aviation security training programme.,"Die Mitgliedstaaten verlangen von den zuständigen Behörden, dass sie die Konzipierung und Durchführung eines innerstaatlichen Fortbildungsprogramms für die Sicherheit der Zivilluftfahrt sicherstellen.",en-de,Administrative Law,"authority, state, member, security, aviation, civil"
Commission for Minerals,Commission for Minerals,en-de,Tax & Financial Regulation,commission
It shall apply until 14 December 2005.,Er gilt bis zum 14. Dezember 2005.,en-de,Administrative Law,
The secretariat shall ensure the scientific and technical coordination of the activities of the Scientific Committees and where necessary coordination of their activities with those of other Community and international bodies.,Das Sekretariat übernimmt auch die wissenschaftliche und technische Koordination der Arbeit der Wissenschaftlichen Ausschüsse und gegebenenfalls die Koordination ihrer Tätigkeiten mit denen anderer gemeinschaftlicher und internationaler Einrichtungen.,en-de,International Law,
He/she shall respond to any requests for assistance from the Commission or from a Member State in accordance with Article 10(2)(c);,Er kommt allen Ersuchen der Kommission oder eines Mitgliedstaates um Unterstützung gemäß Artikel 10 Absatz 2 Buchstabe c) nach.,en-de,Tax & Financial Regulation,"member, commission, article, state"
"""Auxiliary washing preparation"", intended for soaking (pre-washing), rinsing or bleaching clothes, household linen, etc.;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;",en-de,Legal Theory & Latin Terms,household
"An exemption from the principle of pro rata allocation may be made where the results would not be satisfactory, provided that the rules established by the Member States in agreement with the Commission are respected.","Wenn die anteilige Erfassung zu unbefriedigenden Ergebnissen führen würde, kann von diesem Grundsatz abgewichen werden, sofern dabei die Regeln eingehalten werden, die von den Mitgliedstaaten im Einvernehmen mit der Kommission festgelegt wurden.",en-de,Administrative Law,"member, exemption, agreement, rules, commission"
"exemption or reduction on duties on imports of machinery,",Befreiung von oder Ermäßigung der Einfuhrabgaben auf Maschinen;,en-de,Bankruptcy Law,exemption
"It shall recognise any resulting change in the carrying amount by adjusting retained earnings (or, if appropriate, another category of equity), rather than goodwill.","Jegliche dadurch entstehenden Veränderungen des Buchwerts sind durch Anpassung der Gewinnrücklagen (oder, falls angemessen, einer anderen Eigenkapitalkategorie) anstatt durch Korrektur des Geschäfts- oder Firmenwerts zu erfassen.",en-de,Family Law & Estates/Trusts,"equity, goodwill"
EXCHANGE OF INFORMATION,AUSKUNFTSERTEILUNG,en-de,Tax & Financial Regulation,"exchange, information"
Use of estimates,Verwendung von Schätzungen,en-de,Administrative Law,use
Any person may have factually inaccurate data relating to them corrected or unlawfully stored data relating to them deleted.,"Jeder hat das Recht, auf seine Person bezogene unrichtige Daten berichtigen oder unrechtmäßig gespeicherte Daten löschen zu lassen.",en-de,Property & Real Estate Law,person
"Airports with a serious shortfall in capacity should be designated as ""coordinated airports"" on the basis of objective criteria after a capacity analysis has been conducted.","Flughäfen, auf denen erhebliche Unterkapazitäten bestehen, sollten aufgrund objektiver Kriterien nach Durchführung einer Kapazitätsanalyse als ""koordinierte"" Flughäfen erklärt werden.",en-de,Administrative Law,capacity
"The free movement of safe and wholesome food is an essential aspect of the internal market and contributes significantly to the health and well-being of citizens, and to their social and economic interests.",Der freie Verkehr mit sicheren und gesunden Lebensmitteln ist ein wichtiger Aspekt des Binnenmarkts und trägt wesentlich zur Gesundheit und zum Wohlergehen der Bürger und zur Wahrung ihrer sozialen und wirtschaftlichen Interessen bei.,en-de,Healthcare Law,health
inadvertent ram air turbine extension.,Unbeabsichtigtes Ausfahren der durch den Fahrtwind angetriebenen Turbine.,en-de,Legal Theory & Latin Terms,extension
I. Other industrial crops that have not been mentioned elsewhere.,"I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",en-de,Civil Procedure & Litigation,
the pharmaceutical quality is not satisfactorily demonstrated.,Die pharmazeutische Qualität ist nicht ausreichend nachgewiesen.,en-de,Healthcare Law,
NO RELIEF SHALL BE GRANTED FOR MATERIALS AND EQUIPMENT INTENDED FOR REBUILDING DISASTER AREAS.,"VON DER BEFREIUNG AUSGESCHLOSSEN SIND MATERIAL UND AUSRÜSTUNGEN , DIE FÜR DEN WIEDERAUFBAU IN KATASTROPHENGEBIETEN BESTIMMT SIND.",en-de,Civil Procedure & Litigation,relief
Each institution shall inform the budgetary authority of the appointment or termination of duties of its accounting officer.,"Jedes Organ unterricht die Haushaltsbehörde, wenn sie einen Rechnungsführer ernennt, und wenn dieser aus dem Amt ausscheidet.",en-de,Legal Theory & Latin Terms,"officer, termination, authority, accounting"
COINTAT,COINTAT,en-de,Administrative Law,
DECLARATION OF CONFORMITY TO TYPE BASED ON QUALITY ASSURANCE OF FINAL PRODUCT INSPECTION AND TESTING,KONFORMITÄTSERKLÄRUNG AUF DER GRUNDLAGE DER QUALITÄTSSICHERUNG FÜR DAS PRODUKT,en-de,Legal Theory & Latin Terms,declaration
"These include the 1984 communication on government capital injections, the 1998 notice on the application of the State aid rules to measures relating to direct business taxation and the notice on the application of Articles 87 and 88 of the EC Treaty to State aid in the form of guarantees.","Hierzu gehören die Mitteilung über Kapitalzuführungen durch den Staat von 1984, die Bekanntmachung über die Anwendung der Beihilfevorschriften auf Maßnahmen im Zusammenhang mit der direkten Besteuerung von Unternehmen von 1998 und die Mitteilung über die Anwendung der Artikel 87 und 88 EG-Vertrag auf staatliche Beihilfen in Form von Haftungsverpflichtungen und Bürgschaften.",en-de,Immigration & Naturalization Law,"business, treaty, state, notice, rules, capital, government"
