legal_term,category
Mirandize,Tax & Financial Regulation
mirror image rule,Administrative Law
mirror wills,Family Law & Estates/Trusts
misappropriation,Torts
misappropriation theory of insider trading,Torts
miscarriage (of justice),Immigration & Naturalization Law
misconduct,Legal Theory & Latin Terms
misdemeanor,Criminal Law & Procedure
misfeasance,Legal Theory & Latin Terms
misjoinder,Legal Theory & Latin Terms
misprision of felony,Criminal Law & Procedure
misrepresentation,Contract Law
mistake,Contract Law
mistake of fact,Contract Law
mistake of law,Contract Law
mistrial,Civil Procedure & Litigation
misunderstanding,Legal Theory & Latin Terms
mitigating circumstances,Criminal Law & Procedure
mitigating factor,Criminal Law & Procedure
mitigation of damages,Contract Law
mixed-motive instruction,Legal Theory & Latin Terms
MLS,Legal Theory & Latin Terms
Model Penal Code (MPC),Criminal Law & Procedure
Model Penal Code insanity defense,Criminal Law & Procedure
Model Rules of Professional Conduct,Administrative Law
Modern Portfolio Theory,Legal Theory & Latin Terms
modification,Legal Theory & Latin Terms
modified per stirpes,Legal Theory & Latin Terms
modus operandi,Legal Theory & Latin Terms
moiety,Legal Theory & Latin Terms
molestation,Legal Theory & Latin Terms
money damages,Contract Law
money demand,Legal Theory & Latin Terms
money laundering,Legal Theory & Latin Terms
money order,Legal Theory & Latin Terms
monopoly,Legal Theory & Latin Terms
month-to-month,Legal Theory & Latin Terms
month-to-month tenancy,Legal Theory & Latin Terms
monument,Legal Theory & Latin Terms
moonlighting,Legal Theory & Latin Terms
moot,Legal Theory & Latin Terms
moot court,Civil Procedure & Litigation
moot point,Legal Theory & Latin Terms
moral certainty,Legal Theory & Latin Terms
moral law,Legal Theory & Latin Terms
moral rights,Legal Theory & Latin Terms
moral turpitude,Legal Theory & Latin Terms
moratorium,Legal Theory & Latin Terms
mortality charge,Legal Theory & Latin Terms
mortgage,Property & Real Estate Law
mortgage broker,Property & Real Estate Law
mortgage delinquency,Property & Real Estate Law
mortgage rate buydown,Property & Real Estate Law
mortgage servicer,Property & Real Estate Law
mortgage-backed security,Property & Real Estate Law
mortgagee,Property & Real Estate Law
mortgagor,Property & Real Estate Law
mortmain,Legal Theory & Latin Terms
mortuary,Legal Theory & Latin Terms
mortuary law,Legal Theory & Latin Terms
most favored nation,Legal Theory & Latin Terms
motion,Civil Procedure & Litigation
motion for directed verdict,Civil Procedure & Litigation
motion for judgment as a matter of law,Civil Procedure & Litigation
motion for judgment notwithstanding the verdict,Civil Procedure & Litigation
motion for new trial,Civil Procedure & Litigation
motion for summary judgment,Civil Procedure & Litigation
motion in limine,Civil Procedure & Litigation
motion to dismiss,Civil Procedure & Litigation
motion to quash,Civil Procedure & Litigation
motion to strike,Civil Procedure & Litigation
motion to suppress,Civil Procedure & Litigation
motive,Legal Theory & Latin Terms
mouthpiece,Legal Theory & Latin Terms
movant,Legal Theory & Latin Terms
move,Legal Theory & Latin Terms
moving party,Legal Theory & Latin Terms
mugging,Legal Theory & Latin Terms
Muller v. Oregon (1908),Legal Theory & Latin Terms
multidistrict litigation,Civil Procedure & Litigation
multilateral,International Law
multilateral treaties,International Law
multiple listing service,Intellectual Property (IP)
multiple party account,Intellectual Property (IP)
multiplicity of actions,Intellectual Property (IP)
Multistate Professional Responsibility Exam (MPRE),Legal Theory & Latin Terms
municipal,Intellectual Property (IP)
municipal bonds,Criminal Law & Procedure
municipal corporation,Intellectual Property (IP)
municipal court,Civil Procedure & Litigation
municipality,Intellectual Property (IP)
muniment of title,Property & Real Estate Law
murder,Criminal Law & Procedure
mutiliation,Legal Theory & Latin Terms
mutual,Contract Law
mutual aid,Legal Theory & Latin Terms
mutual aid society,Legal Theory & Latin Terms
mutual assent,Contract Law
mutual fund,Legal Theory & Latin Terms
mutual material mistake,Contract Law
mutual wills,Family Law & Estates/Trusts
mystic will,Family Law & Estates/Trusts
naked option,Legal Theory & Latin Terms
name key,Legal Theory & Latin Terms
Napoleonic Code,Legal Theory & Latin Terms
narcotics,Legal Theory & Latin Terms
National Association of Securities Dealers Automated Quotations (NASDAQ),Tax & Financial Regulation
National Conference of Commissioners on Uniform State Laws (NCCUSL),Legal Theory & Latin Terms
National Credit Union Administration (NCUA),Employment & Labor Law
National Credit Union Share Insurance Fund (NCUSIF),Employment & Labor Law
National Firearms Registration and Transfer Record (NFRTR),Legal Theory & Latin Terms
National Labor Relations Act (NLRA),Employment & Labor Law
National Labor Relations Board (NLRB),Employment & Labor Law
National Reporter System,Legal Theory & Latin Terms
national security,Tax & Financial Regulation
National Security Letter,Tax & Financial Regulation
National treatment,Legal Theory & Latin Terms
National Visa Center (NVC),Immigration & Naturalization Law
natural born citizen,Legal Theory & Latin Terms
natural law,Legal Theory & Latin Terms
natural person,Legal Theory & Latin Terms
natural resources,Legal Theory & Latin Terms
naturalization,Immigration & Naturalization Law
naturalization power,Immigration & Naturalization Law
nay,Legal Theory & Latin Terms
Near v. Minnesota (1931),Legal Theory & Latin Terms
necessaries,Legal Theory & Latin Terms
Necessary and Proper Clause,Constitutional Law
necessary inference,Legal Theory & Latin Terms
necessary party,Legal Theory & Latin Terms
necessities,Legal Theory & Latin Terms
necessity defense,Legal Theory & Latin Terms
negative amortization,Tax & Financial Regulation
negative income,Tax & Financial Regulation
negative pregnant,Legal Theory & Latin Terms
negative signal,Legal Theory & Latin Terms
negative will,Family Law & Estates/Trusts
negligence,Torts
negligence per se,Torts
negligent,Legal Theory & Latin Terms
negligent infliction of emotional distress,Civil Procedure & Litigation
negligent tort,Torts
negotiable instrument,Legal Theory & Latin Terms
negotiable instruments,Legal Theory & Latin Terms
negotiation,Legal Theory & Latin Terms
net,Constitutional Law
net earnings,Legal Theory & Latin Terms
net estate,Family Law & Estates/Trusts
net income,Tax & Financial Regulation
net lease,Property & Real Estate Law
net loss,Legal Theory & Latin Terms
net operating loss (NOL),Legal Theory & Latin Terms
net probate estate,Family Law & Estates/Trusts
new matter,Legal Theory & Latin Terms
New York State Rifle & Pistol Association (NYSRPA) v. Bruen (2022),Legal Theory & Latin Terms
New York Stock Exchange (NYSE),Tax & Financial Regulation
New York Times v. Sullivan (1964),Legal Theory & Latin Terms
newly discovered evidence,Evidence Law
next friend,Legal Theory & Latin Terms
next of kin,Legal Theory & Latin Terms
NIED,Legal Theory & Latin Terms
nihil,Legal Theory & Latin Terms
nihil dicit,Legal Theory & Latin Terms
nihil est,Legal Theory & Latin Terms
nil,Legal Theory & Latin Terms
nil dicit default judgment,Civil Procedure & Litigation
nisi prius,Legal Theory & Latin Terms
no bill,Legal Theory & Latin Terms
No Child Left Behind Act of 2001,Family Law & Estates/Trusts
no contest,Legal Theory & Latin Terms
no fault,Legal Theory & Latin Terms
No Further Inquiry Rule,Administrative Law
No License Required (NLR),Intellectual Property (IP)
no signal,Legal Theory & Latin Terms
no-answer default judgment,Civil Procedure & Litigation
no-contest clause,Legal Theory & Latin Terms
no-fault divorce,Family Law & Estates/Trusts
no-fault insurance,Legal Theory & Latin Terms
no-knock warrant,Securities & Corporate Law
no-par stock,Tax & Financial Regulation
noise ordinance,Legal Theory & Latin Terms
nol. pros.,Legal Theory & Latin Terms
nolle prosequi,Legal Theory & Latin Terms
nolo,Legal Theory & Latin Terms
nolo contendere,Legal Theory & Latin Terms
nominal damages,Contract Law
nominal party,Legal Theory & Latin Terms
nominee,Legal Theory & Latin Terms
non compos mentis,Legal Theory & Latin Terms
non sequitur,Legal Theory & Latin Terms
non-accelerated filer,Legal Theory & Latin Terms
non-disclosure agreement (NDA),Contract Law
non-fungible token (NFT),Legal Theory & Latin Terms
non-judicial foreclosure,Legal Theory & Latin Terms
non-probate assets,Family Law & Estates/Trusts
non-profit organizations,Legal Theory & Latin Terms
non-prosecution agreement (NPA),Criminal Law & Procedure
non-reporting issuer,Legal Theory & Latin Terms
non-testifying expert witnesses,Criminal Law & Procedure
noncompete,Legal Theory & Latin Terms
noncompetition agreement,Contract Law
nonconforming use,Legal Theory & Latin Terms
noncontest clause,Legal Theory & Latin Terms
noncontestability clause,Legal Theory & Latin Terms
noncontiguous,Legal Theory & Latin Terms
noncountable resource,Legal Theory & Latin Terms
noncustodial parent,Legal Theory & Latin Terms
nondelegation doctrine,Contract Law
nondischargeable debts,Bankruptcy Law
nondiscretionary trust,Family Law & Estates/Trusts
nondisparagement clause,Legal Theory & Latin Terms
nonelected invention,Intellectual Property (IP)
nonexempt employee,Employment & Labor Law
nonexempt property,Property & Real Estate Law
nonfeasance,Legal Theory & Latin Terms
nonfederal grounds,Legal Theory & Latin Terms
nonfreehold estate,Family Law & Estates/Trusts
nonimmigrant,Immigration & Naturalization Law
nonimmigrant visa,Immigration & Naturalization Law
nonjudicial foreclosure,Legal Theory & Latin Terms
nonlapse statute,Legal Theory & Latin Terms
nonobvious,Legal Theory & Latin Terms
nonobviousness,Legal Theory & Latin Terms
nonparty,Legal Theory & Latin Terms
nonprobate assets,Family Law & Estates/Trusts
nonprobate estate,Family Law & Estates/Trusts
nonprobate transfer,Family Law & Estates/Trusts
nonprofit corporation,Securities & Corporate Law
nonrecourse,Legal Theory & Latin Terms
nonrecurring closing costs,Property & Real Estate Law
nonresident,Legal Theory & Latin Terms
nonsolicitation agreement,Contract Law
nonsuit,Legal Theory & Latin Terms
nontransferable ticket,Legal Theory & Latin Terms
Norris v. Alabama (1935),Legal Theory & Latin Terms
North Atlantic Treaty Organization (NATO),International Law
not guilty,Criminal Law & Procedure
not guilty by reason of insanity,Criminal Law & Procedure
notarize,Legal Theory & Latin Terms
notary,Legal Theory & Latin Terms
notary public,Legal Theory & Latin Terms
note,Legal Theory & Latin Terms
notice,Immigration & Naturalization Law
notice of default,Contract Law
Notice of Deficiency,Immigration & Naturalization Law
notice of pendency,Immigration & Naturalization Law
Notice of Proposed Rulemaking,Administrative Law
notice of tax lien,Contract Law
notice pleading,Criminal Law & Procedure
notice statute,Immigration & Naturalization Law
notice to quit,Immigration & Naturalization Law
notorious possession,Legal Theory & Latin Terms
NOV (non obstante veredicto),Legal Theory & Latin Terms
novation,Legal Theory & Latin Terms
novel,Legal Theory & Latin Terms
novelty,Legal Theory & Latin Terms
noxious,Legal Theory & Latin Terms
nugatory,Legal Theory & Latin Terms
nuisance,Torts
nuisance fees,Torts
nulla bona,Legal Theory & Latin Terms
nullity,Legal Theory & Latin Terms
nullum crimen sine lege,Criminal Law & Procedure
nunc pro tunc,Legal Theory & Latin Terms
nuncupative will,Family Law & Estates/Trusts
O Visa,Immigration & Naturalization Law
O.R.,Legal Theory & Latin Terms
O.S.C.,Legal Theory & Latin Terms
oath,Legal Theory & Latin Terms
oath of office,Immigration & Naturalization Law
obiter dicta,Legal Theory & Latin Terms
obiter dictum,Legal Theory & Latin Terms
object,Legal Theory & Latin Terms
objection,Legal Theory & Latin Terms
objects of the power,Legal Theory & Latin Terms
obligation,Legal Theory & Latin Terms
obligee,Legal Theory & Latin Terms
obligor,Legal Theory & Latin Terms
OBRA,Legal Theory & Latin Terms
obscene,Legal Theory & Latin Terms
obscenity,Legal Theory & Latin Terms
obstruction of justice,Immigration & Naturalization Law
occupancy,Legal Theory & Latin Terms
occupancy standard,Legal Theory & Latin Terms
occupant,Legal Theory & Latin Terms
occupation,Employment & Labor Law
occupational disease,Employment & Labor Law
occupational hazard,Employment & Labor Law
Occupational Safety and Health Act (OSHA),Employment & Labor Law
occupy the field,Legal Theory & Latin Terms
of counsel,Legal Theory & Latin Terms
off calendar,Legal Theory & Latin Terms
offender,Legal Theory & Latin Terms
offense,Legal Theory & Latin Terms
offensive collateral estoppel,Legal Theory & Latin Terms
offer,Contract Law
offer in compromise,Contract Law
offer of proof,Contract Law
offeree,Contract Law
offering,Contract Law
offeror,Contract Law
Office of the Inspector General,Immigration & Naturalization Law
officer,Immigration & Naturalization Law
officer of the court,Civil Procedure & Litigation
official,Legal Theory & Latin Terms
official misconduct,Legal Theory & Latin Terms
officious intermeddler,Legal Theory & Latin Terms
offset,Legal Theory & Latin Terms
offshore corporation,Securities & Corporate Law
"Old Age, Survivors, Disability Insurance (OASDI)",Legal Theory & Latin Terms
Older Workers Benefit Protection Act (OWBPA),Legal Theory & Latin Terms
olographic will,Family Law & Estates/Trusts
ombuds,Legal Theory & Latin Terms
omission,Legal Theory & Latin Terms
omitted child statutes,Family Law & Estates/Trusts
omitted heir,Family Law & Estates/Trusts
omnibus bill,Legal Theory & Latin Terms
omnibus clause,Legal Theory & Latin Terms
on all fours,Legal Theory & Latin Terms
on demand,Legal Theory & Latin Terms
on or about,Legal Theory & Latin Terms
on or before,Legal Theory & Latin Terms
on the merits,Legal Theory & Latin Terms
on the stand,Legal Theory & Latin Terms
One Big Beautiful Bill Act (OBBB),Legal Theory & Latin Terms
