source,target,language_pair,Legal_Category
"Works contracts cover either the execution, or both the execution and design, of works or the realisation, by whatever means, of a work corresponding to the requirements specified by the contracting authority.","Gegenstand von Bauaufträgen können sein: entweder nur die Ausführung oder sowohl die Planung als auch die Ausführung von Bauvorhaben oder Bauwerken sowie die Erbringung von Bauleistungen, gleichgültig mit welchen Mitteln, gemäß den vom öffentlichen Auftraggeber genannten Erfordernissen.",en-de,Administrative Law
Purpose,Gegenstand,en-de,General Legal
Other Public Areas,Sonstige öffentliche Bereiche,en-de,General Legal
"This Regulation establishes rules for the participation of enterprises, research centres and universities in, and rules for the dissemination of results from research carried out under the Sixth Framework Programme of the European Community for, research, technological development and demonstration activities contributing to the creation of the European Research Area and to innovation (2002-2006) (hereinafter referred to as the ""Sixth Framework Programme""), with the exception of RTD activities executed by a joint undertaking or any other structure set up pursuant to Article 171 of the Treaty.","Diese Verordnung enthält die Regeln für die Beteiligung von Unternehmen, Forschungszentren und Hochschulen an der Durchführung des Sechsten Rahmenprogramms der Europäischen Gemeinschaft im Bereich der Forschung, technologischen Entwicklung und Demonstration als Beitrag zur Verwirklichung des Europäischen Forschungsraums und zur Innovation (2002-2006) (im Folgenden ""Sechstes Rahmenprogramm"" genannt) sowie für die Verbreitung der Forschungsergebnisse, mit Ausnahme der FTE-Tätigkeiten eines gemeinsamen Unternehmens oder einer anderen Struktur gemäß Artikel 171 des EG-Vertrags.",en-de,Constitutional Law
state the aim of the programme taking into consideration the importance of the zoonosis or zoonotic agent concerned;,das Programmziel unter Berücksichtigung der Bedeutung der betreffenden Zoonose bzw. des betreffenden Zoonoseerregers nennen;,en-de,Contract Law
"instruments and working equipment such as cutting tables, tables with detachable cutting surfaces, containers, conveyor belts and saws of non-corrodible material not liable to taint meat and easy to clean and disinfect.","Einrichtungsgegenstände und Arbeitsgeräte, wie z.B. Tische, auswechselbare Schneideunterlagen, Behältnisse, Transportbänder und Sägen aus korrosionsfestem, die Qualität des frischen Fleisches nicht beeinträchtigendem, leicht zu reinigendem und zu desinfizierendem Material.",en-de,General Legal
An alternative is to present a separate component of the financial statements which presents only items (a) to (c).,"Eine Alternative ist die Darstellung eines gesonderten Abschlussbestandteils, der nur die Posten (a) bis (c) ausweist.",en-de,General Legal
The appendices have been omitted in IAS 17 (revised) in the light of the additional indicators included therein to further clarify the lease classification process.,"Diese Anhänge wurden in der überarbeiteten Version des IAS 17 wegen der darin enthaltenen zusätzlichen Indikatoren, die den Klassifizierungsprozess eines Leasingverhältnisses weiter vereinfachen, gestrichen.",en-de,Property Law
no licence or special fishing permit is issued to vessels appearing in the IUU vessel list to fish in waters under their sovereignty or jurisdiction;,"Fischereifahrzeuge, die in der Liste der IUU-Schiffe aufgeführt sind, keine Lizenz oder spezielle Fangerlaubnis zur Fischerei in unter ihrer Hoheit oder Gerichtsbarkeit stehenden Gewässern erhalten;",en-de,General Legal
"instead of ""Solid food supplements/dietary integrators"" to read ""Food supplements as defined in Directive 2002/46/EC supplied in a solid form"";","""Nahrungsergänzungsmittel/Diätergänzungsstoffe in fester Form"" in ""Nahrungsergänzungsmittel im Sinne der Richtlinie 2002/46/EG in fester Form"";",en-de,General Legal
the experience gained under existing national measures; and,die Erfahrungen mit den bestehenden nationalen Maßnahmen und,en-de,General Legal
Family: Stichopodidae (Sea Cucumbers),Familie Stichopodidae (Seegurken),en-de,Family Law
the signature of the keeper.,Unterschrift des Tierhalters.,en-de,General Legal
THE PH MUST REMAIN BELOW 3 DURING EXTRACTION ;,Während der Extraktion muß der pH-Wert unter 3 liegen ;,en-de,General Legal
This Directive shall not affect the possibility for the Member States to adopt or maintain more favourable provisions.,"Diese Richtlinie berührt nicht das Recht der Mitgliedstaaten, günstigere Regelungen zu treffen oder beizubehalten.",en-de,General Legal
"In any event, the level of measures should not exceed the value of the non-commercial advantage granted to the non-Community air carrier.","In jedem Fall sollte die Maßnahme in ihrer Höhe nicht den Wert des nichtkommerziellen Vorteils überschreiten, der dem gemeinschaftsfremden Luftfahrtunternehmen eingeräumt wird.",en-de,General Legal
"1 LITRE , OR",1 LITER ODER,en-de,General Legal
Regulation (EC) No 549/2004 of the European Parliament and of the Council of 10 March 2004 laying down the framework for the creation of the single European sky,Verordnung (EG) Nr. 549/2004 des Europäischen Parlaments und des Rates vom 10. März 2004 zur Festlegung des Rahmens für die Schaffung eines einheitlichen europäischen Luftraums,en-de,Administrative Law
"4 preventing the introduction of unauthorised weapons, incendiary devices or explosives to ships or port facilities;.","4 die Verhinderung des Anbordschaffens unerlaubter Waffen, Brandsätze oder Explosivstoffe auf Schiffe beziehungsweise des Einbringens dieser Gegenstände in Hafenanlagen;.",en-de,General Legal
"Basic activities for the EDCTP Programme such as secretariat services and the management of information concerning clinical interventions against the three diseases (HIV/AIDS, malaria and tuberculosis).","Grundlegende Tätigkeiten für das EDCTP-Programm, wie Sekretariatsdienste und Informationsmanagement im Zusammenhang mit den klinischen Interventionen zur Bekämpfung der drei Krankheiten (HIV/AIDS, Malaria und Tuberkulose).",en-de,General Legal
foods containing primary products for which a valid application is not submitted in accordance with Article 7 and Article 8(3) before 16 June 2005 and/or derived smoke flavourings:,"Lebensmittel, die Primärprodukte, für die kein gültiger Antrag gemäß Artikel 7 und Artikel 8 Absatz 3 vor dem 16. Juni 2005 eingereicht wurde, und/oder daraus hergestellte Raucharomen enthalten:",en-de,Constitutional Law
Proficiency testing,Eignungsprüfung,en-de,General Legal
"In considering whether potential ordinary shares are dilutive or anti-dilutive, each issue or series of potential ordinary shares is considered separately rather than in aggregate.","Bei der Beurteilung, ob potenzielle Stammaktien verwässernd wirken oder der Verwässerung entgegenwirken, sind alle Emissionen oder Emissionsfolgen potenzieller Stammaktien statt als Summe getrennt zu betrachten.",en-de,General Legal
This section specifies the transitional treatment for defined benefit plans.,Dieser Abschnitt regelt den Übergang auf diesen Standard im Fall von leistungsorientierten Plänen.,en-de,General Legal
"Accreditation, designation, authorisation or licensing of tissue establishments and tissue and cell preparation processes","Zulassung, Benennung, Genehmigung oder Lizenzierung von Gewebeeinrichtungen und von Aufbereitungsverfahren für Gewebe und Zellen",en-de,Intellectual Property Law
"Moving towards European Integration"", and invited the Commission to consider taking appropriate measures to allow Stabilisation and Association Process countries to participate in tenders organised under the pre-accession (Phare, ISPA and Sapard) Community assistance programmes.","Auf dem Weg zur Europäischen Integration"" und forderte die Kommission auf, geeignete Maßnahmen in Erwägung zu ziehen, die es den am Stabilisierungs- und Assoziierungsprozess beteiligten Ländern erlauben, an Ausschreibungen im Rahmen der Heranführungsprogramme (Phare, Ispa und Sapard) der Gemeinschaft teilzunehmen.",en-de,General Legal
The officials and other accompanying persons authorised by the Commission to conduct an inspection are empowered:,"Die mit den Nachprüfungen beauftragten Bediensteten der Kommission und die anderen von ihr ermächtigten Begleitpersonen sind befugt,",en-de,General Legal
The following are examples of situations where related party transactions may lead to disclosures by a reporting enterprise in the period which they affect:,"Im Folgenden werden Beispiele für Situationen genannt, in denen Geschäftsvorfälle mit nahe stehenden Unternehmen und Personen zu Angaben durch das berichtende Unternehmen in der Periode führen können, die sie betreffen:",en-de,Contract Law
"Accounting for an acquisition involves determination of the cost of the acquisition, allocation of the cost over the identifiable assets and liabilities of the enterprise being acquired and accounting for the resulting goodwill or negative goodwill, both at acquisition and subsequently.","Die Bilanzierung eines Unternehmenserwerbes umfasst im Einzelnen die Bestimmung der Anschaffungskosten des Unternehmenserwerbes, die Verteilung der Anschaffungskosten auf die identifizierbaren Vermögenswerte und Schulden des erworbenen Unternehmens sowie die Behandlung eines sich ergebenden Geschäfts- oder Firmenwertes oder negativen Unterschiedsbetrages zum Erwerbszeitpunkt und danach.",en-de,Corporate Law
THE TEST SHOULD PREFERABLY BE CARRIED OUT ON TRAYS CONSISTING OF FLAT GLASS PLATES FITTED WITH A PERFECTLY LEVEL ALUMINIUM OR PLASTIC RING 200 MM IN DIAMETER AND 20 MM HIGH .,"Der Test sollte vorzugsweise auf Platten durchgeführt werden, die aus einer Glasscheibe mit einem darauf gelegten plangedrehten Aluminiumoder Kunststoffring von 20 mm Höhe und 200 mm Durchmesser hergestellt werden.",en-de,General Legal
"Categories M2, M3, N2 and N3 shall be understood to be those defined in Annex II to Directive 70/156/EEC(6).","Die Klassen M2, M3, N2 und N3 entsprechen den im Anhang II der Richtlinie 70/156/EWG(6) des Rates festgelegten Begriffsbestimmungen.",en-de,General Legal
Great Britain(8),Großbritannien(8),en-de,General Legal
"In order to ensure the ability to apply theoretical knowledge in practice, a test of which is included in the examination, a trainee must complete a minimum of three years' practical training in inter alia the auditing of annual accounts, consolidated accounts or similar financial statements.","Damit gewährleistet ist, daß die Fähigkeit zur praktischen Anwendung der in der Prüfung verlangten theoretischen Kenntnisse vorhanden ist, ist eine praktische Ausbildung von mindestens drei Jahren, die sich insbesondere auf die Prüfung des Jahresabschlusses, des konsolidierten Abschlusses oder ähnlicher Finanzabschlüsse erstrecken muß, durchzuführen.",en-de,General Legal
"The EU partnership initiative ""Energy Initiative for poverty eradication and sustainable development"" launched on 1 September 2002 is based on better energy efficiency and the increased use of renewable energy sources, and several developing countries and regional organisations, as well as private sector and civil society organisations, have already associated themselves with this initiative, the principles and strategy of which are laid out in the ""Commission Communication on Energy cooperation with the developing countries"".","Die EU-Partnerschaftsinitiative ""Energieinitiative für die Bekämpfung der Armut und für nachhaltige Entwicklung"", die am 1. September 2002 eingeleitet wurde, gründet auf einer besseren Energieeffizienz und der stärkeren Verwendung erneuerbarer Energieträger; mehrere Entwicklungsländer und regionale Organisationen wie auch Organisationen des Privatsektors und der Zivilgesellschaft haben sich dieser Initiative bereits angeschlossen, deren Grundsätze und Strategie in der ""Mitteilung der Kommission über die Zusammenarbeit mit den Entwicklungsländern im Energiebereich"" dargelegt sind.",en-de,Civil Law
